Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Kyle Tucker,HOU,53,237,18,38,39,9,0.181434599,0.156118143,0.338541667,0.253623188,0.276041666,0.406779661,0.614583333,0.42820748,,185.2277175,0.321956288,23.7713096,-0.608586153,3.182581375,Kyle Tucker,18345,663656
Bobby Witt Jr.,KCR,55,243,9,48,36,16,0.082304526,0.164609053,0.248847926,0.337209302,0.30875576,0.366255144,0.557603686,0.385148731,,148.3793364,1.803369669,15.451333,7.156585488,3.145996339,Bobby Witt Jr.,25764,677951
Mookie Betts,LAD,54,248,8,41,30,9,0.14516129,0.092741935,0.20754717,0.348066298,0.33490566,0.431451612,0.54245283,0.41926858,,173.5006012,0.272546916,22.10510557,-0.640379719,3.064796863,Mookie Betts,13611,605141
Aaron Judge,NYY,55,245,17,37,39,2,0.175510204,0.248979591,0.350253807,0.314049586,0.279187817,0.409836065,0.629441624,0.429995073,,184.4853463,-0.420557464,23.60918627,-3.414296051,2.905063686,Aaron Judge,15640,592450
Shohei Ohtani,LAD,53,239,13,40,35,13,0.10041841,0.192468619,0.28436019,0.376623376,0.33649289,0.403361344,0.62085308,0.431223634,,181.5765215,2.244068367,25.59612561,-5.625363544,2.880171786,Shohei Ohtani,19755,660271
Gunnar Henderson,BAL,52,234,17,40,37,7,0.115384615,0.23076923,0.32,0.267175572,0.26,0.358974358,0.58,0.39377303,,161.6126993,1.674432633,18.41182356,1.750666711,2.864389482,Gunnar Henderson,26289,683002
Juan Soto,NYY,55,250,14,39,44,4,0.144,0.156,0.261904762,0.31875,0.309523809,0.408,0.571428571,0.415402129,,174.3148113,-1.271537154,20.29681941,-1.103952108,2.819171664,Juan Soto,20123,665742
William Contreras,MIL,53,241,8,44,43,3,0.103734439,0.199170124,0.193396226,0.392405063,0.330188679,0.402489626,0.523584905,0.396768683,,156.376595,-0.880032035,15.39335479,1.805418829,2.602542743,William Contreras,20503,661388
Anthony Volpe,NYY,54,245,6,36,23,11,0.089795918,0.212244897,0.152777778,0.345911949,0.282407407,0.3553719,0.435185185,0.345037226,,125.2740773,1.676400051,8.864979237,5.59965378,2.316791401,Anthony Volpe,27647,683011
Elly De La Cruz,CIN,54,223,9,36,24,31,0.121076233,0.322869955,0.203125,0.342342342,0.244791666,0.346846846,0.447916666,0.347080999,,117.5677305,4.569775873,9.26204146,5.417297448,2.281388399,Elly De La Cruz,26668,682829
Isaac Paredes,TBR,50,213,9,22,29,0,0.10798122,0.159624413,0.196721311,0.323943661,0.300546448,0.389671361,0.497267759,0.382166657,,155.437251,-0.709638354,12.99864133,-0.035316221,2.054017327,Isaac Paredes,20036,670623
Alec Bohm,PHI,54,229,5,25,47,2,0.074235807,0.139737991,0.18446602,0.343023255,0.310679611,0.366812227,0.495145631,0.367917441,,136.8132267,-0.817762258,9.279448709,2.413413613,1.995630381,Alec Bohm,21618,664761
Marcell Ozuna,ATL,51,216,15,30,47,0,0.12037037,0.217592592,0.294117647,0.338582677,0.310160427,0.393518518,0.604278074,0.419444447,,170.538283,-1.426242721,16.82282567,-5.483132601,1.914229553,Marcell Ozuna,10324,542303
José Ramírez,CLE,53,233,15,37,54,8,0.068669527,0.115879828,0.271028037,0.24137931,0.26635514,0.317596566,0.537383177,0.358391523,,135.5947529,0.847262145,10.47542816,0.184349515,1.885438966,Jose Ramirez,13510,608070
Salvador Perez,KCR,53,215,9,22,39,0,0.065116279,0.158139534,0.194871794,0.355263157,0.323076923,0.386046511,0.517948717,0.385096714,,148.343083,-2.092844542,9.973465203,1.22802315,1.879936457,Salvador Perez,7304,521692
Jurickson Profar,SDP,57,225,7,32,32,3,0.133333333,0.146666666,0.162303665,0.355263157,0.319371727,0.417777777,0.481675392,0.39171381,,157.3330019,-1.010706146,14.44003309,-4.11636614,1.841177279,Jurickson Profar,10815,595777
Jarren Duran,BOS,54,245,3,31,22,11,0.07755102,0.228571428,0.18018018,0.341463414,0.265765765,0.330612244,0.445945945,0.33442744,,112.0203744,3.386926342,6.805821197,2.966420456,1.835067162,Jarren Duran,24617,680776
