"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"McCullers Jr., Lance","R",,"84.4",,"89.3",,,"50.2"
"Cedeño, Xavier","L",,,"41.5",,,,"72.5"
"Heaney, Andrew","L",,"88.9",,"86.3",,,"33.3"
"Stammen, Craig","R",,"87","23.8",,,,"70.8"
"Lucchesi, Joey","L",,"77.8",,,,,"19.8"
"Davies, Zach","R",,"94.8","47.8","84",,,"77.4"
"Kontos, George","R",,"86","29.6",,,"32.1",
"McFarland, T.J.","L",,"92.3",,"85.8",,"39.7",
"Manaea, Sean","L",,"85.8",,"62.5",,"17.7",
"Ziegler, Brad","R",,"87.2",,"78.1",,,"65"
"Britton, Zack","L",,"62.8",,,,"56.8",
"Robertson, David","R",,,"70.7",,,"44.6","73.8"
"Graveman, Kendall","R",,"95.1","43.5","78",,"52",
"Godley, Zack","R",,"77","43.1","53.3",,,"56.8"
"Pazos, James","L",,"88.1",,,,"33.4",
"Hart, Donnie","L",,"91.4",,"88.9",,"48.6",
"Castro, Miguel","R",,"91.6",,"90.4",,"30.5",
"Cobb, Alex","R",,"94.2",,,,,"76.1"
"Yacabonis, Jimmy","R",,"90.1",,"86.8",,"45.1",
"Bleier, Richard","L",,"62.3","23.3","82.4",,"27.1",
"Blach, Ty","L",,"84.4",,"84.6",,"34.4","75.4"
"Meyer, Ben","R",,"95.1",,"85.1",,,"59.2"
"Gsellman, Robert","R",,"94.6",,"90.6",,"26","63.4"
"Watson, Tony","L",,"84.7",,"93.5",,"18.8",
"Holland, Derek","L",,"91.3",,"82",,"17.9","10.4"
"Matz, Steven","L",,"92.2",,"82.4",,"23.3","70.2"
"Jones, Nate","R",,"89.6",,,,"17.3",
"Hicks, Jordan","R",,"85.4",,,,"58.1",
"Gómez, Jeanmar","R",,"93.2",,"88.2",,"25.6","49.3"
"Covey, Dylan","R",,"84.5","41.8","78.4",,"24.4","32.5"
"Fedde, Erick","R",,"70.1","23.3","83.6",,"48.3","68.8"
"Moylan, Peter","R",,"90.7",,"80.2",,"50.6",
"Grace, Matt","L",,"88",,"90.8",,"23.6",
"Solís, Sammy","L",,"94.8",,"82.7",,,"61.3"
"Hudson, Dakota","R",,"74.3",,,,"22.7","38.6"
"Glover, Koda","R",,"92.1",,"88.2",,"31.2","64.3"
"Venters, Jonny","L",,"85.4",,,,"38.6",
"Alexander, Scott","L",,"71.8",,"82.1",,"23.5",
"Wood, Alex","L",,"88.7",,"81.5",,,"22.5"
"McCarthy, Brandon","R",,"81.9","47.8",,,"31.3","74"
"Loup, Aaron","L",,"96.7","11.8","87.4",,,"83.1"
"Jansen, Kenley","R",,"90.6","72.4",,,"38.7",
"Neshek, Pat","R",,"84.6",,,,"21.2",
"Alvarado, José","L",,"86.2","17.5",,,,"41"
"Avilán, Luis","L",,"87.7",,"55.9",,,"72.2"
"Shaw, Bryan","R",,,"38.2",,,"69.5",
"Rogers, Taylor","L",,"92.2",,,,"45.6","71.1"
"Sampson, Adrian","R",,"88.2",,"92.4",,"15.1",
"Gaviglio, Sam","R",,"77.5",,"81.9",,"19.9","44.1"
"Petricka, Jake","R",,"95.1",,"94.2",,"10.4",
"Borucki, Ryan","L",,"93.5",,"87.4",,"18.4","47.9"
"Hader, Josh","L",,"96.5",,,,"31.8",
"Claudio, Alex","L",,"92.9",,"88.4",,"39.3",
"Alcántara, Victor","R",,"90.4",,"91.2",,"39.5",
"Harris, Will","R",,,"45.4",,,,"85.3"
"Fister, Doug","R",,"92.5","32","88.1",,,"77.7"
"Conley, Adam","L","100",,,"92.5",,"29.3",
"Verlander, Justin","R","98.5",,"54","94.6",,"21.4","72.4"
"Neverauskas, Dovydas","R","97.6","96","34.3",,,,"52.8"
"Estrada, Marco","R","96.8",,"42.2","87.8",,,"56.5"
"Steckenrider, Drew","R","95.9",,,"84.4",,"25.4","31.3"
"Bibens-Dirkx, Austin","R","95.2","94.4",,"74.1",,"22.2","38.3"
"Robles, Hansel","R","95","95.4",,"93.8",,"20",
"Smith, Caleb","L","94.6",,,"88.3",,"24.3",
"Cole, Gerrit","R","94.5","97.2",,"97.1",,"28.7","76.8"
"Rhame, Jacob","R","94.4",,,,,"26.7",
"Brigham, Jeff","R","93.9",,,"87.8",,"69.3",
"Allen, Cody","R","93.7",,,,,,"59.5"
"Barnes, Danny","R","93.7",,,"72.8",,"25.7",
"Tropeano, Nick","R","93.1","95.9",,"93.3",,"12",
"Yates, Kirby","R","93.1",,,,,"22.3",
"Doolittle, Sean","L","92.9",,,,,"39.1",
"Wacha, Michael","R","92.7",,"50.2","82.9",,,"81"
"Sanchez, Aaron","R","92.3","96.1",,"97.2",,,"88.3"
"Shreve, Chasen","L","92.2",,,,,"14.9",
"Curtis, Zac","L","92.2",,,"88",,"18.9",
