"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Verlander, Justin","434378","2541","2551","2483","2528","1813","2803",,,,
"Sale, Chris","519242","2336","2205",,"2395","2016",,,,,
"Archer, Chris","502042","2249",,,"2546","1766",,,,,
"Porcello, Rick","519144","2441","2321",,"2497","1621","2858",,,,
"González, Gio","461829","2247","2139",,,"1676","2708",,,,
"Gausman, Kevin","592332","2249","2087",,"2291","1797",,"1592",,,
"Cole, Gerrit","543037","2164","2096",,"2417","1631","2667",,,,
"Samardzija, Jeff","502188","2479","2454","2536","2402",,"2379","1690",,,
"Estrada, Marco","462136","2386",,"2515",,"2125","2662",,,,
"Santana, Ervin","429722","2232","2136",,"2372","1516",,,,,
"Roark, Tanner","543699","2088","2041",,"2321","1757","2720",,,,
"Quintana, Jose","500779","2042","2010",,,"1329","2179",,,,"2215"
"deGrom, Jacob","594798","2362","2294",,"2453","1793","2549",,,,
"Bauer, Trevor","545333","2278","2257","2564",,"1624","2548",,,,
"Lynn, Lance","458681","2375","2239","2423",,"1987","2184",,,,
"Greinke, Zack","425844","2392","2340",,"2595","1821","2593",,,,
"Stroman, Marcus","573186","2337","2246","2613",,"1673","2720",,,,"2734"
"Lester, Jon","452657","2206","2015","2333",,"1743","2512",,,,
"Martinez, Carlos","593372","2091","2007",,"2189","1988","2078",,,,
"Scherzer, Max","453286","2503","2486","2451","2401","1519","2507",,,,
"Pérez, Martín","527048","2085","2023",,"2320","1780","2569",,,,
"Nolasco, Ricky","445060","2124","2009",,"2319",,"2544","1379",,,
"Severino, Luis","622663","2301",,,"2689","1671",,,,,
"Corbin, Patrick","571578","2293","2244",,"2359","1797",,,,,
"Davies, Zach","605200",,"2103","2278",,"1795","2603",,,,
"Teheran, Julio","527054","2274","2158",,"2453","1595","2602",,,,
"Miley, Wade","489119","2215","2078","2349","2379","1936","2471",,,,
"Straily, Dan","573185","2227","2251",,"2397","1408","2513",,,,
"Pomeranz, Drew","519141","2359","2263","2340",,"1697","2204",,,,
"Darvish, Yu","506433","2506","2357","2655","2590","1585","2510",,,"2664",
"Carrasco, Carlos","471911","2260","2086",,"2515","1485","2653",,,,
"Richard, Clayton","453385","2117","2064",,"2211","1848",,,,,
"Hammel, Jason","434628","2198","2165",,"2492","1764","2267",,,,
"Kluber, Corey","446372","2372","2225","2580",,"1707","2589",,,,
"Vargas, Jason","450306","2229","2195",,,"2278","2491",,,,
"Chacín, Jhoulys","468504","2207","2120",,"2480","1503","2500",,,,
"Ureña, José","570632","2175","2149","1728","2305","1807",,,,,
"Moore, Matt","519043","2257",,"2170",,"1727","2394",,,,
"Cobb, Alex","502171","2045","2103",,,,"2536","1599",,,
"Dickey, R.A.","285079","1878",,,,,,,"1530",,
"Bundy, Dylan","605164","2485","2395",,"2488","1754","2241",,,,
"Tanaka, Masahiro","547888","2228","2065","2282","2367",,"2445","1497",,,
"Foltynewicz, Mike","592314","2294","2198",,"2427","1882","2439",,,,
"Lackey, John","407793","2172","2131","2165",,"1647","2283",,,,
"Nelson, Jimmy","519076","2300","2133",,"2534","1561","2559",,,,
"Walker, Taijuan","592836","2105","2035","2291",,,"2296","1556",,,
"Arrieta, Jake","453562","2312","2259",,"2439","1800","2705",,,,
"Leake, Mike","502190","2166","2015","2201","2473","1770","2589",,,,
"Ray, Robbie","592662","2276","2256",,"2094",,"2037",,,,
"Kuhl, Chad","641771","2160","2133",,"2505","1745","2875",,,,
"Wacha, Michael","608379","2159","2128","2152",,"1702","2234",,,,
"Manaea, Sean","640455",,"1977",,"2009","1196",,,,,
"Strasburg, Stephen","544931","2171","2125",,"2388","1745","2791",,,,
"Nola, Aaron","605400","2098","2036",,,"1435","2544",,,,
"Miranda, Aríel","664641","2411",,,"1319",,,"2101",,,
"Gray, Sonny","543243","2474","2052","2674","2839","1826","2896",,,,
"Márquez, Germán","608566","2174","2160",,"2040","1682","2671",,,,
"Zimmermann, Jordan","519455","2351","2280",,"2362","2245","2431",,,,
"Kennedy, Ian","453178","2346","2360",,"1959","1973","2547",,,,
"Cashner, Andrew","488768","2193","2083",,"2050","1495","2217",,,,
"Fiers, Mike","571666","2258","2162","2356","2317","1769","2770",,,,
"Odorizzi, Jake","543606","2285",,"2218","2191",,"2242","1414",,,
"Gibson, Kyle","502043","2155","2025",,"2437","1645","2420",,,,
"Hellickson, Jeremy","476451","2096","2086","2331",,"1830","2924",,,,
"Jiménez, Ubaldo","434622","2224","2139","2309","2395",,"2638","1332",,,
"Nova, Iván","467100","2252","2157",,,"1965","2352",,,,
"Freeland, Kyle","607536","2252","2225",,"2168","1596","2253",,,,
