"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
489119,"Miley, Wade","Pit",158,885,885,617,11.261,268,11.261,0.8135593220338984,0.18418079096045198,0.0022598870056497176
671106,"Allen, Logan","Pit",114,944,944,601,11.516,343,11.516,0.6684322033898306,0.3305084745762712,0.001059322033898305
608718,"Suter, Brent","Pit",115,512,512,317,11.923,195,11.923,0.59765625,0.3984375,0.00390625
608718,"Suter, Brent","Pit",158,598,598,422,12.012,176,12.012,0.6020066889632107,0.3879598662207358,0.010033444816053512
656605,"Keller, Mitch","Pit",134,1371,1371,878,12.125,493,12.125,0.5944566010211525,0.4026258205689278,0.0029175784099197666
596001,"Junis, Jakob","Pit",137,608,608,363,12.245,245,12.245,0.6611842105263158,0.3371710526315789,0.001644736842105263
571927,"Matz, Steven","Pit",138,842,842,522,12.345,320,12.345,0.6163895486935868,0.3824228028503563,0.0011876484560570072
608718,"Suter, Brent","Pit",158,784,784,567,12.346,217,12.346,0.5880102040816326,0.39668367346938777,0.015306122448979591
448179,"Hill, Rich","Pit",135,1171,1171,682,12.518,489,12.518,0.5824081981212639,0.41417591801878734,0.0034158838599487617
571945,"Mikolas, Miles","Pit",138,1380,1380,881,12.601,499,12.601,0.5659420289855073,0.43043478260869567,0.0036231884057971015
592836,"Walker, Taijuan","Pit",143,1310,1310,900,12.675,410,12.675,0.6,0.39923664122137403,0.0007633587786259542
693821,"Elder, Bryce","Pit",144,1247,1247,798,12.681,449,12.681,0.5132317562149158,0.48115477145148355,0.0056134723336006415
621389,"Blach, Ty","Pit",115,552,552,304,12.715,248,12.715,0.5,0.49818840579710144,0.0018115942028985507
663687,"Harris, Hogan","Pit",133,509,509,296,12.735,213,12.735,0.5717092337917485,0.4223968565815324,0.005893909626719057
543045,"Conley, Adam","Pit",146,790,790,534,12.779,256,12.779,0.5455696202531646,0.43544303797468353,0.0189873417721519
615698,"Quantrill, Cal","Pit",114,772,772,467,12.78,305,12.78,0.5621761658031088,0.4378238341968912,0
571927,"Matz, Steven","Pit",121,1315,1315,849,12.813,466,12.813,0.5019011406844106,0.4737642585551331,0.024334600760456272
489119,"Miley, Wade","Pit",113,1170,1170,752,12.898,418,12.898,0.523931623931624,0.46153846153846156,0.01452991452991453
593372,"Martinez, Carlos","Pit",138,1437,1437,984,12.913,453,12.913,0.5267919276270007,0.44467640918580376,0.028531663187195546
622491,"Castillo, Luis","Pit",136,1352,1352,905,12.93,447,12.93,0.5680473372781065,0.4319526627218935,0
502624,"Anderson, Chase","Pit",115,676,676,430,12.958,246,12.958,0.5177514792899408,0.4822485207100592,0
641540,"Dunning, Dane","Pit",140,1208,1208,785,12.96,423,12.96,0.5670529801324503,0.4304635761589404,0.0024834437086092716
474463,"Anderson, Brett","Pit",158,774,774,502,12.96,272,12.96,0.5155038759689923,0.4780361757105943,0.006459948320413436
594902,"Lively, Ben","Pit",113,643,643,425,13.034,218,13.034,0.5987558320373251,0.39968895800933124,0.0015552099533437014
622072,"Wood, Alex","Pit",137,792,792,488,13.04,304,13.04,0.5845959595959596,0.4128787878787879,0.0025252525252525255
663903,"Singer, Brady","Pit",118,1204,1204,701,13.041,503,13.041,0.5058139534883721,0.4908637873754153,0.0033222591362126247
489119,"Miley, Wade","Pit",117,1377,1377,928,13.08,449,13.08,0.5177923021060276,0.46695715323166304,0.015250544662309368
682847,"Ortiz, Luis L.","Pit",134,647,647,362,13.126,285,13.126,0.4312210200927357,0.5641421947449768,0.00463678516228748
657277,"Webb, Logan","Pit",137,1453,1453,1017,13.131,436,13.131,0.6056434962147281,0.3936682725395733,0.0006882312456985547
571510,"Boyd, Matthew","Pit",116,510,510,342,13.137,168,13.137,0.5470588235294118,0.45098039215686275,0.00196078431372549
450729,"Fister, Doug","Pit",140,544,544,330,13.146,214,13.146,0.5018382352941176,0.47794117647058826,0.02022058823529412
592866,"Williams, Trevor","Pit",120,1197,1197,773,13.227,424,13.227,0.5488721804511278,0.4469507101086048,0.004177109440267335
593958,"Rodriguez, Eduardo","Pit",116,1056,1056,686,13.245,370,13.245,0.5454545454545454,0.45265151515151514,0.001893939393939394
477132,"Kershaw, Clayton","Pit",119,823,823,573,13.302,250,13.302,0.520048602673147,0.4775212636695018,0.002430133657351154
666200,"Luzardo, Jesús","Pit",146,1268,1268,872,13.323,396,13.323,0.639589905362776,0.3588328075709779,0.0015772870662460567
608718,"Suter, Brent","Pit",158,537,537,319,13.336,218,13.336,0.4059590316573557,0.5772811918063314,0.01675977653631285
543475,"Lyles, Jordan","Pit",118,1255,1255,892,13.339,363,13.339,0.5601593625498008,0.43824701195219123,0.0015936254980079682
489119,"Miley, Wade","Pit",158,629,629,405,13.347,224,13.347,0.47058823529411764,0.5071542130365659,0.022257551669316374
445926,"Chavez, Jesse","Pit",112,665,665,419,13.38,246,13.38,0.4766917293233083,0.5007518796992482,0.022556390977443608
450729,"Fister, Doug","Pit",111,754,754,474,13.413,280,13.413,0.4761273209549072,0.4960212201591512,0.027851458885941646
668881,"Greene, Hunter","Pit",113,874,874,564,13.424,310,13.424,0.517162471395881,0.4805491990846682,0.002288329519450801
502190,"Leake, Mike","Pit",136,1269,1269,863,13.446,406,13.446,0.48936170212765956,0.49645390070921985,0.014184397163120567
593372,"Martinez, Carlos","Pit",138,888,888,517,13.446,371,13.446,0.393018018018018,0.5608108108108109,0.04617117117117117
650644,"Civale, Aaron","Pit",139,904,904,599,13.461,305,13.461,0.4922566371681416,0.5033185840707964,0.004424778761061947
641927,"Ober, Bailey","Pit",142,944,944,692,13.468,252,13.468,0.5391949152542372,0.4565677966101695,0.00423728813559322
676477,"Whitlock, Garrett","Pit",111,503,503,334,13.498,169,13.498,0.5129224652087475,0.4870775347912525,0
543101,"DeSclafani, Anthony","Pit",137,715,715,494,13.52,221,13.52,0.5482517482517483,0.45034965034965035,0.0013986013986013986
571948,"Milner, Hoby","Pit",158,529,529,321,13.525,208,13.525,0.6294896030245747,0.3686200378071834,0.001890359168241966
608344,"Irvin, Cole","Pit",110,546,546,357,13.565,189,13.565,0.4835164835164835,0.5164835164835165,0
596295,"Gomber, Austin","Pit",115,963,963,595,13.579,368,13.579,0.46625129802699894,0.5327102803738317,0.0010384215991692627
453385,"Richard, Clayton","Pit",135,1092,1092,699,13.58,393,13.58,0.46794871794871795,0.510989010989011,0.021062271062271064
650911,"Sánchez, Cristopher","Pit",143,653,653,458,13.631,195,13.631,0.5114854517611026,0.4869831546707504,0.0015313935681470138
571760,"Heaney, Andrew","Pit",140,1148,1148,717,13.639,431,13.639,0.4738675958188153,0.524390243902439,0.0017421602787456446
571927,"Matz, Steven","Pit",121,1286,1286,811,13.647,475,13.647,0.42457231726283046,0.5513219284603421,0.02410575427682737
594902,"Lively, Ben","Pit",143,664,664,426,13.647,238,13.647,0.4397590361445783,0.5331325301204819,0.02710843373493976
502171,"Cobb, Alex","Pit",137,1154,1154,795,13.668,359,13.668,0.4731369150779896,0.5190641247833622,0.00779896013864818
445926,"Chavez, Jesse","Pit",144,584,584,336,13.685,248,13.685,0.3972602739726027,0.5924657534246576,0.010273972602739725
527048,"Pérez, Martín","Pit",140,1027,1027,640,13.752,387,13.752,0.44790652385589097,0.5511197663096398,0.0009737098344693282
676840,"Peacock, Matt","Pit",109,610,610,349,13.762,261,13.762,0.3885245901639344,0.5918032786885246,0.019672131147540985
656557,"Houck, Tanner","Pit",111,806,806,500,13.769,306,13.769,0.43424317617866004,0.56575682382134,0
678394,"Bello, Brayan","Pit",111,1175,1175,732,13.778,443,13.778,0.45361702127659576,0.5429787234042553,0.003404255319148936
593334,"Germán, Domingo","Pit",147,686,686,523,13.793,163,13.793,0.532069970845481,0.46647230320699706,0.0014577259475218659
605288,"Houser, Adrian","Pit",158,874,874,538,13.797,336,13.797,0.4279176201372998,0.5675057208237986,0.004576659038901602
276520,"Arroyo, Bronson","Pit",113,531,531,337,13.847,194,13.847,0.4425612052730697,0.544256120527307,0.013182674199623353
642545,"Barria, Jaime","Pit",108,606,606,359,13.853,247,13.853,0.4389438943894389,0.5577557755775577,0.0033003300330033004
571578,"Corbin, Patrick","Pit",120,1314,1314,824,13.881,490,13.881,0.439117199391172,0.558599695585997,0.00228310502283105
